epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1812.78,0.77291,0.50742,1.07581,0.87241,0.8,0.80496,0.57659,1.0569,0.69544,1.23322,0.0011882,0.0011882,0.0011882
43,1854.9,0.75222,0.51778,1.05784,0.8111,0.81975,0.83655,0.59857,1.04825,0.7451,1.22388,0.0011684,0.0011684,0.0011684
44,1896.58,0.74101,0.48092,1.04731,0.90085,0.80909,0.84435,0.62746,1.04398,0.72227,1.21103,0.0011486,0.0011486,0.0011486
45,1939.77,0.77666,0.50328,1.07204,0.87885,0.8573,0.83103,0.6082,1.02457,0.69758,1.21157,0.0011288,0.0011288,0.0011288
46,1982.16,0.74544,0.49537,1.05878,0.89086,0.81626,0.82738,0.57753,1.09495,0.66512,1.25859,0.001109,0.001109,0.001109
47,2024.49,0.75972,0.52045,1.07822,0.89589,0.86058,0.84825,0.60612,1.06189,0.72675,1.20146,0.0010892,0.0010892,0.0010892
48,2068.74,0.73123,0.49144,1.05924,0.88285,0.82213,0.84509,0.60691,1.0732,0.72454,1.27579,0.0010694,0.0010694,0.0010694
49,2110.12,0.71411,0.48681,1.03105,0.87195,0.8,0.80547,0.56676,1.0876,0.71643,1.26404,0.0010496,0.0010496,0.0010496
50,2152.61,0.73159,0.48827,1.04916,0.85355,0.83636,0.82991,0.58326,1.13155,0.66854,1.28775,0.0010298,0.0010298,0.0010298
51,2195.78,0.69216,0.46844,1.03773,0.87671,0.77578,0.79913,0.58805,1.07343,0.74381,1.23194,0.00101,0.00101,0.00101
52,2238.04,0.71187,0.46848,1.04449,0.84905,0.81818,0.80451,0.58094,1.0892,0.74822,1.27758,0.0009902,0.0009902,0.0009902
53,2281.77,0.70145,0.45769,1.03993,0.8945,0.8,0.80933,0.57535,1.12,0.80676,1.26804,0.0009704,0.0009704,0.0009704
54,2324.23,0.68277,0.44774,1.02298,0.87378,0.8181,0.80441,0.58275,1.06839,0.77334,1.25941,0.0009506,0.0009506,0.0009506
55,2366.64,0.68589,0.45721,1.01603,0.86893,0.84377,0.82768,0.59788,1.08614,0.66903,1.26118,0.0009308,0.0009308,0.0009308
56,2409.15,0.65831,0.4518,1.01373,0.8515,0.88182,0.8601,0.61401,1.09252,0.64872,1.2774,0.000911,0.000911,0.000911
57,2452.47,0.66802,0.45019,1.01714,0.85749,0.82053,0.84682,0.59754,1.13288,0.66249,1.3061,0.0008912,0.0008912,0.0008912
58,2494.64,0.6846,0.46438,1.03504,0.87123,0.7996,0.82602,0.62127,1.04148,0.68057,1.24356,0.0008714,0.0008714,0.0008714
59,2537.46,0.6588,0.44053,1.01992,0.88976,0.80709,0.83188,0.59475,1.00921,0.6825,1.19671,0.0008516,0.0008516,0.0008516
60,2581.04,0.6191,0.41609,0.99239,0.87051,0.82727,0.82781,0.61013,1.0471,0.68996,1.25116,0.0008318,0.0008318,0.0008318
61,2623.93,0.6257,0.42923,1.00134,0.88967,0.80639,0.80329,0.60346,1.02349,0.69914,1.21792,0.000812,0.000812,0.000812
62,2665.59,0.62319,0.40869,0.99414,0.86215,0.85288,0.84541,0.62898,1.03787,0.6483,1.31544,0.0007922,0.0007922,0.0007922
63,2708.56,0.61973,0.40429,0.98801,0.90802,0.80772,0.8243,0.62783,0.99968,0.66497,1.20497,0.0007724,0.0007724,0.0007724
64,2750.9,0.62746,0.4222,1.00068,0.86158,0.84882,0.84817,0.61799,1.07351,0.72095,1.29098,0.0007526,0.0007526,0.0007526
65,2793.21,0.61645,0.416,1.00982,0.90691,0.79716,0.84272,0.60628,1.09117,0.66287,1.24548,0.0007328,0.0007328,0.0007328
66,2836.7,0.60708,0.41229,0.99291,0.8922,0.85455,0.86265,0.63001,1.0727,0.694,1.28766,0.000713,0.000713,0.000713
67,2878.56,0.61446,0.41286,0.9926,0.8902,0.81818,0.82401,0.61834,1.09657,0.65815,1.29901,0.0006932,0.0006932,0.0006932
68,2920.82,0.59312,0.41208,0.97823,0.88312,0.83636,0.874,0.63925,1.03822,0.60227,1.27124,0.0006734,0.0006734,0.0006734
69,2963.88,0.55405,0.3847,0.97099,0.90446,0.8,0.86198,0.63529,1.02829,0.64455,1.22495,0.0006536,0.0006536,0.0006536
70,3006.26,0.58773,0.40463,0.97839,0.93345,0.79091,0.86721,0.64368,1.03563,0.60862,1.22824,0.0006338,0.0006338,0.0006338
71,3047.83,0.57083,0.37599,0.97799,0.89849,0.80468,0.81938,0.62419,0.9947,0.65332,1.21332,0.000614,0.000614,0.000614
72,3090.1,0.59003,0.39941,0.993,0.90813,0.80876,0.81203,0.59638,1.08336,0.65751,1.32427,0.0005942,0.0005942,0.0005942
73,3131.94,0.57621,0.38866,0.977,0.86419,0.85455,0.8572,0.6438,1.04451,0.63317,1.29638,0.0005744,0.0005744,0.0005744
74,3174.21,0.53992,0.37054,0.96117,0.89522,0.82727,0.86399,0.64645,1.02501,0.64402,1.26809,0.0005546,0.0005546,0.0005546
75,3217.58,0.55139,0.37213,0.95973,0.89252,0.83043,0.84795,0.63793,1.03471,0.64579,1.29429,0.0005348,0.0005348,0.0005348
76,3259.28,0.54777,0.37714,0.94888,0.90704,0.81818,0.84322,0.63391,1.06318,0.63872,1.289,0.000515,0.000515,0.000515
77,3301.39,0.52893,0.36184,0.94906,0.92084,0.8,0.82671,0.63479,1.06229,0.65361,1.32677,0.0004952,0.0004952,0.0004952
78,3344.3,0.52055,0.34903,0.94215,0.91077,0.84545,0.86251,0.64957,1.01772,0.63872,1.24462,0.0004754,0.0004754,0.0004754
79,3386.8,0.53935,0.37018,0.95755,0.90983,0.82727,0.86634,0.6554,0.99693,0.60255,1.22545,0.0004556,0.0004556,0.0004556
80,3428.83,0.51258,0.34969,0.93684,0.91985,0.80909,0.85714,0.64295,1.04684,0.60585,1.27255,0.0004358,0.0004358,0.0004358
81,3471.61,0.50436,0.33861,0.94611,0.90084,0.84545,0.87159,0.64936,1.07623,0.63125,1.33079,0.000416,0.000416,0.000416
82,3514.17,0.52124,0.35142,0.95686,0.89711,0.82727,0.84405,0.64547,1.03849,0.68422,1.27767,0.0003962,0.0003962,0.0003962
83,3557.1,0.52614,0.36174,0.95401,0.89137,0.84545,0.84406,0.63851,1.02825,0.65859,1.3134,0.0003764,0.0003764,0.0003764
84,3601.25,0.49925,0.339,0.94312,0.91119,0.83946,0.84363,0.6432,1.03704,0.6394,1.26568,0.0003566,0.0003566,0.0003566
85,3643.56,0.48565,0.33051,0.92856,0.91389,0.84545,0.86978,0.66178,1.00912,0.60983,1.27434,0.0003368,0.0003368,0.0003368
86,3686.71,0.4947,0.34853,0.9381,0.91923,0.84545,0.86484,0.6488,1.01852,0.59348,1.24463,0.000317,0.000317,0.000317
87,3730.02,0.48679,0.33855,0.93137,0.91534,0.84545,0.8808,0.66814,0.98332,0.62435,1.25019,0.0002972,0.0002972,0.0002972
88,3772.45,0.47705,0.33404,0.93574,0.87948,0.86246,0.86284,0.64889,1.02227,0.63241,1.26045,0.0002774,0.0002774,0.0002774
89,3816.96,0.48472,0.32774,0.94292,0.86807,0.83741,0.85805,0.65145,0.96895,0.63801,1.21975,0.0002576,0.0002576,0.0002576
90,3859.76,0.46914,0.33062,0.93458,0.90796,0.82727,0.86422,0.6445,1.01996,0.63666,1.28248,0.0002378,0.0002378,0.0002378
91,3932.32,0.4023,0.26268,0.87357,0.91849,0.83636,0.86849,0.65807,1.01035,0.60707,1.29104,0.000218,0.000218,0.000218
92,3974.47,0.38528,0.25077,0.86398,0.90955,0.83636,0.86844,0.66793,1.00241,0.60681,1.26786,0.0001982,0.0001982,0.0001982
93,4018.24,0.38222,0.24693,0.86555,0.89658,0.81818,0.85351,0.66071,0.97949,0.63452,1.24626,0.0001784,0.0001784,0.0001784
94,4059.88,0.37954,0.24894,0.86833,0.88418,0.83281,0.86164,0.65721,1.0358,0.66028,1.29952,0.0001586,0.0001586,0.0001586
95,4101.95,0.3652,0.23764,0.86499,0.91549,0.83636,0.87527,0.67709,0.99709,0.63614,1.26877,0.0001388,0.0001388,0.0001388
96,4144.82,0.3629,0.23294,0.8691,0.90998,0.82727,0.88007,0.68129,0.98065,0.62449,1.26681,0.000119,0.000119,0.000119
97,4187.4,0.35732,0.23369,0.8605,0.9081,0.84545,0.87995,0.69075,0.99764,0.61106,1.28177,9.92e-05,9.92e-05,9.92e-05
98,4231.33,0.34902,0.23128,0.85995,0.91561,0.82727,0.87891,0.67315,1.00915,0.61645,1.2948,7.94e-05,7.94e-05,7.94e-05
99,4273.55,0.34739,0.22807,0.84964,0.90637,0.81818,0.87509,0.67786,0.99086,0.62827,1.29102,5.96e-05,5.96e-05,5.96e-05
100,4316.64,0.33822,0.23044,0.85881,0.89838,0.82727,0.87371,0.67497,0.98907,0.63338,1.28742,3.98e-05,3.98e-05,3.98e-05
