epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,439.564,0.79497,0.52437,0.99356,0.92585,0.74545,0.83939,0.60096,0.89182,0.58111,1.01753,0.0011684,0.0011684,0.0011684
44,449.699,0.76989,0.50549,0.97764,0.79829,0.8275,0.81754,0.59737,0.83242,0.59833,1.0054,0.0011486,0.0011486,0.0011486
45,459.882,0.76655,0.51532,0.9772,0.93736,0.73636,0.8311,0.57091,1.05225,0.68993,1.043,0.0011288,0.0011288,0.0011288
46,470.135,0.76362,0.50869,0.97553,0.82602,0.81818,0.79917,0.54919,1.06778,0.6147,1.05012,0.001109,0.001109,0.001109
47,480.291,0.76196,0.50829,0.985,0.91126,0.74545,0.80348,0.59105,0.81225,0.53656,1.00324,0.0010892,0.0010892,0.0010892
48,490.397,0.76204,0.50158,0.98642,0.90186,0.82727,0.85807,0.5986,0.87359,0.58265,0.9974,0.0010694,0.0010694,0.0010694
49,500.46,0.77976,0.51862,0.98033,0.8917,0.7485,0.84252,0.60486,0.77954,0.56908,0.99485,0.0010496,0.0010496,0.0010496
50,510.549,0.7683,0.50628,0.98167,0.88213,0.83636,0.86268,0.62736,0.90877,0.53249,1.00277,0.0010298,0.0010298,0.0010298
51,520.641,0.75334,0.49472,0.96857,0.84458,0.86364,0.82835,0.6124,0.82626,0.55977,0.98958,0.00101,0.00101,0.00101
52,530.774,0.74934,0.487,0.96561,0.90355,0.85164,0.84661,0.58182,1.05078,0.57248,1.04837,0.0009902,0.0009902,0.0009902
53,540.88,0.72849,0.4752,0.95869,0.86554,0.8,0.83026,0.598,0.8959,0.58828,1.02319,0.0009704,0.0009704,0.0009704
54,551.041,0.75106,0.48958,0.9718,0.89336,0.76163,0.84501,0.61147,0.81656,0.55606,1.02064,0.0009506,0.0009506,0.0009506
55,561.727,0.70735,0.46835,0.95052,0.9301,0.79091,0.8587,0.60403,0.92663,0.56029,1.00809,0.0009308,0.0009308,0.0009308
56,572.292,0.7511,0.48574,0.96001,0.89199,0.84545,0.85012,0.59332,0.98966,0.54046,1.03679,0.000911,0.000911,0.000911
57,582.33,0.71241,0.4586,0.9607,0.8582,0.82727,0.84442,0.62076,0.88049,0.54258,0.9928,0.0008912,0.0008912,0.0008912
58,592.387,0.70078,0.46345,0.95746,0.84712,0.85636,0.84165,0.60927,0.96756,0.565,1.02927,0.0008714,0.0008714,0.0008714
59,602.434,0.67449,0.43857,0.92973,0.86081,0.87273,0.83372,0.61332,0.86986,0.5927,0.98098,0.0008516,0.0008516,0.0008516
60,612.578,0.68422,0.45273,0.94153,0.86265,0.85645,0.84541,0.6034,0.86298,0.55173,1.0039,0.0008318,0.0008318,0.0008318
61,622.723,0.68846,0.45173,0.93822,0.8269,0.85455,0.84202,0.60495,0.87109,0.55118,0.99649,0.000812,0.000812,0.000812
62,632.812,0.65955,0.43431,0.93697,0.89299,0.83452,0.8848,0.649,0.84413,0.50632,0.9856,0.0007922,0.0007922,0.0007922
63,642.895,0.65392,0.43418,0.91736,0.8826,0.88846,0.85755,0.63906,0.83016,0.50629,0.97375,0.0007724,0.0007724,0.0007724
64,653.041,0.64298,0.42099,0.93368,0.84542,0.79553,0.83467,0.59926,0.91903,0.53397,0.99871,0.0007526,0.0007526,0.0007526
65,663.099,0.65587,0.42429,0.93488,0.86812,0.86364,0.86147,0.63194,0.92311,0.53369,1.0099,0.0007328,0.0007328,0.0007328
66,673.334,0.65784,0.43036,0.94432,0.88652,0.85224,0.85234,0.63739,0.96819,0.59533,1.0259,0.000713,0.000713,0.000713
67,683.576,0.63532,0.41409,0.92699,0.88859,0.87013,0.84718,0.64049,0.91064,0.52281,0.98924,0.0006932,0.0006932,0.0006932
68,693.765,0.64645,0.42021,0.92736,0.8948,0.85062,0.83469,0.62922,0.98027,0.53885,1.02471,0.0006734,0.0006734,0.0006734
69,704.469,0.61242,0.39967,0.92207,0.86111,0.84547,0.8287,0.62921,0.80389,0.55784,0.9803,0.0006536,0.0006536,0.0006536
70,714.986,0.61939,0.41718,0.9244,0.88239,0.8,0.82804,0.62371,0.87258,0.54551,1.02325,0.0006338,0.0006338,0.0006338
71,725.031,0.61293,0.40059,0.91293,0.87901,0.85862,0.83319,0.60665,1.06562,0.53295,1.05281,0.000614,0.000614,0.000614
72,735.155,0.60267,0.39537,0.91108,0.88977,0.88059,0.87358,0.65715,0.92045,0.47136,1.02928,0.0005942,0.0005942,0.0005942
73,745.292,0.60334,0.39994,0.91812,0.90694,0.89091,0.8715,0.64931,0.89866,0.49849,1.02192,0.0005744,0.0005744,0.0005744
74,755.341,0.5957,0.3909,0.91643,0.87733,0.85455,0.84049,0.62292,1.0738,0.55926,1.06583,0.0005546,0.0005546,0.0005546
75,765.404,0.58862,0.38698,0.91081,0.89875,0.80699,0.8436,0.60171,1.04175,0.56312,1.05695,0.0005348,0.0005348,0.0005348
76,775.47,0.61045,0.40188,0.91278,0.86912,0.84545,0.85856,0.613,1.01341,0.5125,1.05445,0.000515,0.000515,0.000515
77,785.661,0.56426,0.37936,0.90293,0.93968,0.84967,0.88285,0.6446,0.98611,0.49965,1.0128,0.0004952,0.0004952,0.0004952
78,795.847,0.57434,0.37792,0.91049,0.88163,0.84545,0.8652,0.64122,0.95204,0.52656,1.01864,0.0004754,0.0004754,0.0004754
79,806.1,0.56957,0.37653,0.89484,0.86314,0.86002,0.87127,0.62824,1.07443,0.52807,1.06466,0.0004556,0.0004556,0.0004556
80,816.321,0.57451,0.37429,0.9055,0.9028,0.84545,0.86555,0.6508,1.04649,0.53102,1.05859,0.0004358,0.0004358,0.0004358
81,826.468,0.55766,0.37059,0.89605,0.91972,0.83327,0.86158,0.65208,0.92648,0.51102,1.02168,0.000416,0.000416,0.000416
82,836.606,0.57269,0.38086,0.91079,0.8591,0.88692,0.84915,0.61707,1.02798,0.48907,1.05431,0.0003962,0.0003962,0.0003962
83,847.304,0.55,0.36093,0.89369,0.87634,0.88182,0.85187,0.64738,0.9125,0.48321,1.02085,0.0003764,0.0003764,0.0003764
84,857.855,0.56605,0.37356,0.90123,0.8809,0.88182,0.85394,0.63547,0.97209,0.54563,1.03336,0.0003566,0.0003566,0.0003566
85,867.931,0.56374,0.36717,0.90469,0.89845,0.88182,0.87831,0.66694,0.86226,0.45696,1.01365,0.0003368,0.0003368,0.0003368
86,878.125,0.55351,0.36561,0.90336,0.90682,0.87273,0.87792,0.6609,0.88406,0.47785,1.01271,0.000317,0.000317,0.000317
87,888.344,0.53898,0.36169,0.89918,0.88781,0.88182,0.89601,0.69379,0.85433,0.46278,0.97539,0.0002972,0.0002972,0.0002972
88,898.666,0.53448,0.36086,0.90152,0.88047,0.87058,0.87148,0.66253,0.91078,0.48243,1.0233,0.0002774,0.0002774,0.0002774
89,909.144,0.52791,0.34385,0.89424,0.88182,0.85455,0.87477,0.67136,0.91781,0.45611,1.05645,0.0002576,0.0002576,0.0002576
90,919.479,0.50855,0.34901,0.88169,0.86462,0.87091,0.86402,0.66058,0.94324,0.49016,1.05219,0.0002378,0.0002378,0.0002378
91,949.368,0.43928,0.27919,0.83,0.87858,0.85515,0.87066,0.66334,0.86455,0.47649,1.01656,0.000218,0.000218,0.000218
92,959.317,0.43292,0.2688,0.83495,0.86775,0.85455,0.88735,0.67652,0.93859,0.54238,1.04164,0.0001982,0.0001982,0.0001982
93,969.258,0.41165,0.26515,0.8243,0.87011,0.86364,0.88824,0.68142,0.88492,0.49734,1.02446,0.0001784,0.0001784,0.0001784
94,979.285,0.4144,0.26232,0.82933,0.8673,0.83636,0.87083,0.66778,0.8999,0.48836,1.03604,0.0001586,0.0001586,0.0001586
95,989.862,0.41762,0.2621,0.83033,0.86949,0.85455,0.87043,0.65594,0.91674,0.49238,1.03318,0.0001388,0.0001388,0.0001388
96,1000.26,0.40242,0.25447,0.83248,0.87931,0.87273,0.87613,0.66721,0.98313,0.51902,1.04573,0.000119,0.000119,0.000119
97,1010.22,0.39159,0.25333,0.82568,0.87154,0.86352,0.87528,0.67166,0.91212,0.4734,1.03491,9.92e-05,9.92e-05,9.92e-05
98,1020.26,0.37308,0.24399,0.81169,0.87126,0.86136,0.88429,0.67409,0.91939,0.47229,1.03324,7.94e-05,7.94e-05,7.94e-05
99,1030.25,0.37001,0.24119,0.81604,0.87122,0.86103,0.88273,0.68026,0.9048,0.48131,1.03507,5.96e-05,5.96e-05,5.96e-05
100,1040.29,0.37006,0.24495,0.81792,0.86852,0.85455,0.87411,0.66881,0.95685,0.50619,1.04793,3.98e-05,3.98e-05,3.98e-05
